Source,Target,Weight
airplane,female topless nudity,34
airplane,fight,56
airplane,fire,55
airplane,fistfight,32
airplane,flashback,77
airplane,flashlight,33
airplane,food,29
airplane,foot chase,32
airplane,forest,28
airplane,france,24
airplane,friend,30
airplane,friendship,48
airplane,funeral,22
airplane,girl,16
airplane,gore,26
airplane,gun,65
airplane,hallucination,19
airplane,held at gunpoint,50
airplane,helicopter,44
airplane,horse,22
airplane,hospital,40
airplane,hostage,47
airplane,hotel,55
airplane,husband wife relationship,71
airplane,independent film,30
airplane,infidelity,15
airplane,investigation,35
airplane,jealousy,27
airplane,kidnapping,42
airplane,kiss,68
airplane,knife,52
airplane,knocked unconscious,30
airplane,letter,30
airplane,lie,25
airplane,london england,45
airplane,looking at oneself in a mirror,32
airplane,love,39
airplane,machine gun,48
airplane,male female relationship,24
airplane,male frontal nudity,12
airplane,male nudity,34
airplane,male protagonist,30
airplane,male pubic hair,12
airplane,male rear nudity,20
airplane,man wears eyeglasses,34
airplane,marriage,26
airplane,memory,23
airplane,mirror,36
airplane,money,37
airplane,montage,42
airplane,mother daughter relationship,36
airplane,mother son relationship,52
airplane,motorcycle,48
airplane,murder,94
airplane,nightclub,25
airplane,nightmare,18
airplane,no opening credits,33
airplane,nudity,36
airplane,nurse,26
airplane,old man,23
airplane,one word title,36
airplane,paranoia,37
airplane,paris france,22
airplane,party,28
airplane,photograph,84
airplane,photographer,36
airplane,pistol,64
airplane,police,33
airplane,police officer,39
airplane,pregnancy,21
airplane,priest,22
airplane,prison,24
airplane,prologue,32
airplane,prostitute,19
airplane,psychopath,13
airplane,psychotronic film,29
airplane,pubic hair,17
airplane,punched in the face,41
airplane,race against time,44
airplane,rain,48
airplane,rape,9
airplane,rescue,47
airplane,restaurant,35
airplane,revenge,44
airplane,rifle,55
airplane,secret,18
airplane,sequel,18
airplane,sex,35
airplane,sex scene,35
airplane,shooting,32
airplane,shootout,46
airplane,shot in the back,44
airplane,shot in the chest,52
airplane,shot in the head,45
airplane,shot to death,62
airplane,shotgun,25
airplane,shower,26
airplane,singer,40
airplane,singing,44
