franchise_id,movies
79,Magic → Mafia is Calling → Magic is Murder → Mafia Bosses
132,Esto no es una cita → Padre no hay más que uno 4 → Padre no hay más que uno 5
182,Shkëlqimi i përkohëshëm → Sinjali i dashurisë → Gelli i Nok → Timur i komanda
198,Torrente 2: Misión en Marbella → Torrente 3: El protector → Torrente X 2 - Mision en Torrelavega
209,"Astérix le Gaulois → Astérix et Cléopâtre → Astérix chez les Bretons → Asterix, Operation Hinkelstein → Astérix & Obélix contre César → Astérix: Le domaine des dieux → Astérix & Obélix : L'empire du milieu"
271,Crime et châtiment → Lavado em Lágrimas → Crime em Nova Iorque
439,Koniec naszego swiata → Koniec sezonu na lody → Koniec gry
499,Look Back in Anger → Sacracide → Come Back → Come Back → Turn Back
530,Wenn du noch eine Mutter hast → Wenn Du eine Tante hast → Wenn die Mutter und die Tochter... → Wenn Du noch eine Heimat hast → Wenn du noch eine Heimat hast
553,"Planète chefs, la suite No. 2: Nordine Labiadh - Tunisie → Planète chefs, la suite No. 3: Pierre Siewe - Cameroun → Planète chefs, la suite No. 1: Beatriz González - Mexique"
581,Dusze w niewoli → Wycieczka w nieznane → Prawdzie w oczy → Nigdy w zyciu!
645,Brothers in Blood → Brothers → Brothers → Brothers and Sisters
829,Bibleway UK Convocation of 2023 → Bibleway Churches UK Holy Convocation → Bibleway UK Carnival → The Bibleway Cavalcade
1089,Old Mother Riley in Paris → Old Mother Riley Joins Up → Old Mother Riley in Society → Old Mother Riley Detective → Old Mother Riley at Home
1392,Klatka → Kategorie C → Jalkapallomaa
1507,E paha → Tärava → Tara
1534,"Egy tál lencse → Egy pofon, egy csók → Egy fiúnak a fele → Egy régi villamos → Egy srác fehér lovon → Egy kicsit én, egy kicsit te"
1610,Das Siegel Gottes → Das letzte Siegel → Das Siegel
1635,No disponible → No Exit → No Mercynary
1711,Patria mia! → Fiorenza mia! → Come morì Miss Cavell → Demonietto → Tragedia senza lagrime → Sei mia! → Come io vi amo → Tragedia su tre carte
1744,Serenata Tzigana → Milagro a los cobardes → Serenata a la claror de la lluna → Sob a Chama da Candeia
1749,The Orchard → The Orchard → The Secret of the Orchard
1934,Verdammt die jungen Sünder nicht → Wenn die Heidelerche singt → Alle die Du bist
1995,Da & dort → Ari & Halve Kongeriket → Terrance & Me
2039,Tristan & Iseult → Tristan et Iseut → Tristan
2092,Der Schusterprinz → Der falsche Dimitri → Der falsche Prinz
2163,Alicudi 2 Selvaggia (Carnet Filmé: 25 avril 2007) → Alicudi 3 Lontana (Carnet Filmé: 26 avril 2007) → Alicudi 1 Bella II (Carnet Filmé: 24 avril 2007)
2182,Wimbledon Official Film 1979 → Wimbledon Official Film 1983 → Wimbledon Official Film 1984 → Wimbledon Official Film 1995 → Wimbledon Official Film 2016 → Wimbledon Official Film 2017
2245,Hamlet → Hamlet → Hamlet
2536,Have A Word: The Farm Special → Have A Word: The Red Bull Soapbox Special - Part 1 → Have A Word: The Art Special
2561,Musti Christmas → Last Christmas → Smart Christmas → The Fabulous Christmas Holidays → Port Christmas → The Christmas Show → Save Christmas → The SOS Christmas
2565,"Club porno pour chattes enragées → Secte pornographique → Poryes, Porno"
2589,Velluto nero → Orgasmo nero → Orgasmo esotico → Irma la masseuse → Orgasmo perverso → Baby la figlia libidinosa
2662,Tempo d'amarsi → Tempo stazionario → Tempo Comum
2684,Giulietta e Romeo → Romeo and Juliet → Romeo → Romeo e Giulietta → Romeo and Juliet
2971,Genie und Liebe → Goldelfe → Hofgunst und Neid → Zopf und Turban → Narr und Tod
3031,Das Geheimnis des Schafotts → Das Geheimnis der Wera Baranska → Das Geheimnis um Johann Orth
3329,Sexton Blake → Sexton Blake and the Mademoiselle → Sexton Blake and the Hooded Terror
3438,Draußen vor der Tür → Das weiße Pferd → Das Weib des Irren
3493,Lo vedi come sei... Lo vedi come sei? → Lo svitato → Lo sgarbo → Lo sguardo nascosto
3513,Sumo Bruno → Sumo Girls → The Sumo
3625,Faust Fausta → Faust contre Méphisto → Faust → Faust Sonnengesang III
3638,Mario Schifano tutto → Mario Camus según el cine → Mario
3669,"Poniros praktor Karagiozis → Poniros o vlahos! → Lordan, o varvaros"
3712,Febbre di gloria → Gloria di sangue → Gloria transita → Gloria
3759,A Rogue's Wife → A Woman Redeemed → A Woman's Temptation
3859,Hidden Homicide → Hidden Faces → Hidden Memories
3888,Pink Elephants → Elephant! → Pink Elephants
3980,Mädchen hinter Gittern → Mädchen nach Mitternacht → Mädchen im Eis
4015,Fais-moi tout → Prends-moi tout → Prends-moi de force → Prends-moi comme une bête → Refais-moi tout
4108,Lucie de Trecoeur → Prix de beauté → Ronde de nuit → Équipe de nuit → Lucie et maintenant - Journal nomade → Tête de chien
4237,"Lottovoittaja UKK Turhapuro → Häpy endkö? Eli kuinka Uuno Turhapuro sai niin kauniin ja rikkaan vaimon → Rautakauppias Uuno Turhapuro, presidentin vävy → Uuno Turhapuro muuttaa maalle → Uuno Turhapuro herra Helsingin herra"
4298,Juego de amor prohibido → Canciones de amor en Lolita's Club → Antes de morir piensa en mí.
4428,Blood Myth → Blood House → Blood Society
4447,Courts mais Gay: Tome 1 → Courts mais Gay: Tome 4 → Courts mais Lesbiens. Tome 1 → Courts mais GAY: Tome 10 → Courts mais GAY: Tome 12
4480,I due marescialli → I due colonnelli → I ribelli
4558,Prince Philip: A Lifetime of Duty → Prince Charles: The Making of A King → Prince William: The Future of the Monarchy
4648,V2 - jäätynyt enkeli → Vares - Huhtikuun tytöt → Vares - Pahan suudelma → Vares - Pimeyden tango
4776,Kopfüber ins Glück → Tanz ins Glück → Probefahrt ins Paradies
4836,Two Days → 21 Days Later: Mentawais → First Days → 2 Days in January → 50 Days in the Desert
4917,Tango → Tango Pasión → Tango on a Visit
4942,Dracula 44 → Dracula Beyond! → Dracula Reboot → Dracula Crimson Reign → Unknown Dracula Title
5111,Paradise → Paradise Framed → Paradise → Paradise → Paradise → Paradise Calling
5129,Ti-Ti Nallen Joulu → Ti-Ti Nallen Joulutohinat → Ti-Ti Nalle Vuodenajat 1 → Ti-Ti Nalle Vuodenajat 2 → Ti-Ti Nallen 30-vuotisjuhlakonsertti → Ti-Ti Nallen Uudenvuoden Jääshow
5149,The Healer → The Healer → The Healer
5181,Donbass → Debaltseve → The Cacophony of Donbas → War for Peace → The Earth Is Blue as an Orange
5278,Operación cabaretera → Operación Mata Hari → Operación Gónada
5438,Carmen → Carmen → Carmen proibita → Carmen → Carmen → Carmen → Carmen Troubles → Carmen
5451,Losers in Love → Losers → Losers
5572,Det gamle Købmandshjem → Livets baal → Det gamle fyrtaarn → Livets Gøglespil → Det sovende Hus → Det är något som inte stämmer
5581,The Crimson Circle → The Scarlet Web → The Secret Partner → The Wife Swappers → The Night Digger → The Beast in the Cellar → Breaking Point → The Last of England → The Point Men → The Liability → The Informer → The Stranger in Our Bed
5614,Felicità perduta → Gioventù perduta → Felicità
5719,September Song → September → September → September Babies
5812,Rrugicat që kërkonin diell → Fijet që priten → Zemrat që nuk plaken
5867,Des Königs Stimme → Die Königin der Nacht → Die Königin des Varietés → Königsberg Is Dead → Die Feuermacher des Königs → hannigans
5908,Anu ja Mikko → Pekka Puupää → Pekka ja Pätkä salapoliiseina → Pekko Aikamiespojan poikamiesaika → Pekko ja poika → Pekko ja muukalainen
5976,Le nabab → Le petit chose → Le calvaire de Cimiez
6030,Femmes au soleil → Femmes complices → Femmes prêtes à tout → Femmes par derrière → Femmes → Orgia libera
6251,Der Hochtourist → Der Hochtourist → Der Hochtourist
6534,A Safe Affair → The Strange Affair → A Strange Love Affair
6538,O mein Heimatland → Vårgårda i Västergötlands hjärta → Jutland
6719,Arthur fait du film → Jacqueline fait du cinéma → Garance fait son show (Carnet Filmé: 23 mai 2022)
6834,Je suis avide d'hommes → Je suis une monteuse → Je suis avide d'hommes → Je fais où on me dit
7096,O czym sie nie mówi → O czym sie nie mysli → O czym sie nie mówi...
7129,Achterklap → Doortocht → Hoogspanning
7301,Sans un cri → Sans moi → Sans peur
7319,Den kære Afdøde → Den kære Familie → Naar Løvet falder → Naar Hadet slukkes → Den flyvende Hollænder I-IV → De flyvende djævle
7398,Ghost App → Ghost Swim → Ghost Train
7405,Der Bergführer → Der Berg ruft! → Der Berg
7446,Memento Mori → Memento Amare → Memento mori
7514,Goodbye → Goodbye Mama → Goodbye Friends
7515,Vera → Vera → Vera
7541,Der eiserne Wille → Der Sonne entgegen → Vereinzelt Sonne
7544,"Dracula, Prince of Darkness → Scars of Dracula → Book of Blood"
7570,Mister Mayfair: The Spyce of Life → Mister Mayfair → Mister Mayfair: Serena's Game
7609,Rewind → Rewind → Rewind & Play
7619,"Duhozanye: The Widows of Rwanda → Rwanda, la vie après → Traces of Responsibility"
7662,Galerie Yves: Millet → Galerie Yves: Degas → Galerie Yves: Delacroix → Galerie Yves: Poussin → Galerie Yves: Braque → Galerie Yves: Vernet → Galerie Splendide
7885,Memory of the Unknown → Memory of Love → Memory Pain
7887,Loving Dick Suck and Deepthroat → Camgirl Deepthroat and Dildo Fuck → Amateur's Upside Down Deepthroat → Doggy Style Dildo Fuck → POV Deep Dildo Fuck Milf Moaning → Closeup of big pussy lips Milf fucking herself
7899,My Sweetheart → My Wife's Family → My Wife's Lodger
7944,"Mon parrain, mon amour → Mon curé chez les nudistes → Mon bel amour, ma déchirure"
8021,Füürland 2 → Svinhery → Svinhery 2 → Fuks 2
8095,Kameleon → Kameleon → Kameleon
8198,"Un virus dans la ville → The Virus that got Away → Chickens, Virus and Us"
8203,Deep Purple: Burn → Deep Purple: Live at Montreux 2011 → Deep Purple - Access All Areas
8345,91:an Karlssons permis → 91:an Karlssons bravader → 91:an Karlsson rycker in
8348,Au beau milieu des bois → Au beau milieu des bois 3 → Au beau milieu des bois 2
8418,Åsa-Nisse på semester → Åsa-Nisse ordnar allt → Åsa-Nisse på Mallorca
8666,Das schöne Mädel → Das Schicksal einer schönen Frau → Das schöne Fräulein Schragg
8703,The Snare → The Snare → The Bodyguards 2
8721,Otello → Otello → Otello
8791,Rise of the Footsoldier: Part II → Rise of the Footsoldier: Origins → Rise of the Footsoldier: Ibiza
8877,Hunger Diaries → HUNGER STRIKE BREAKFAST → Hunger
