num_movies,avg_rating,rating_std,rating_trend,last_rating,year_gap,franchise_age,rating_range,recent_trend,avg_budget,avg_revenue,profitability,target
2,7.550000000000001,0.1499999999999999,0.29999999999999805,7.7,7.0,7.0,0.2999999999999998,0.2999999999999998,53200000.0,299185600.0,245985600.0,5.9
3,7.0,0.7874007874011811,-0.7499999999999994,5.9,12.0,19.0,1.7999999999999998,-1.7999999999999998,102133333.33333333,344457066.6666667,242323733.33333337,5.9
4,6.725,0.8317902379807063,-0.630000000000001,5.9,6.0,25.0,1.7999999999999998,0.0,126600000.0,351181050.25,224581050.25,5.8
1,6.8,0.0,0.0,6.8,0.0,0.0,0.0,0.0,139000000.0,821708551.0,682708551.0,6.7
2,6.75,0.04999999999999982,-0.10000000000000053,6.7,2.0,2.0,0.09999999999999964,-0.09999999999999964,169500000.0,802737446.0,633237446.0,5.9
1,6.9,0.0,0.0,6.9,0.0,0.0,0.0,0.0,950000.0,59600000.0,58650000.0,6.9
2,6.9,0.0,-8.881784197001252e-16,6.9,1.0,1.0,0.0,0.0,1475000.0,69249382.5,67774382.5,7.2
3,7.0,0.14142135623730942,0.14999999999999955,7.2,1.0,2.0,0.2999999999999998,0.2999999999999998,1816666.6666666667,87793275.66666667,85976609.0,6.5
4,6.875,0.24874685927665507,-0.09000000000000102,6.5,1.0,3.0,0.7000000000000002,-0.7000000000000002,2737500.0,101143871.25,98406371.25,5.3
5,6.56,0.6681317235396028,-0.36000000000000054,5.3,2.0,5.0,1.9000000000000004,-1.2000000000000002,4590000.0,89264040.6,84674040.6,6.5
6,6.55,0.6103277807866854,-0.2142857142857135,6.5,0.0,5.0,1.9000000000000004,1.2000000000000002,5408333.333333333,92984165.0,87575831.66666667,6.5
7,6.542857142857143,0.5653245410688396,-0.13928571428571435,6.5,2.0,7.0,1.9000000000000004,0.0,5564285.714285715,91411354.71428572,85847069.0,6.3
8,6.5125,0.5348773223833668,-0.11309523809523796,6.3,2.0,9.0,1.9000000000000004,-0.20000000000000018,5768750.0,94487378.75,88718628.75,6.4
